ID;Aktywny(0 lub 1);Nazwa *;Opis;Krótki opis;Meta - tytuł;Słowa kluczowe meta;Opis meta;URL zdjęcia;ID / Nazwa sklepu grupy
66;1;Jack & Jones;Super marka Jack & Jones;;;;;https://img01.ztat.net/article/spp-media-p1/96449a8bcb58334481b1eb70b48b4d1b/9b3263399e6a4b3ba6b4467ee6852b20.jpg?imwidth=300&filter=packshot;
67;1;Trendyol;Super marka Trendyol;;;;;https://img01.ztat.net/article/spp-media-p1/767887f29c8e4b09b8da54137be1a1b4/8de8ebafad3847e1b4469ad7975bb547.jpg?imwidth=300;
68;1;GANT;Super marka GANT;;;;;https://img01.ztat.net/article/spp-media-p1/1165a059942444fb8a49632977cf1ee2/5aac314c4f694d138d2b469c55b6d1f5.jpg?imwidth=300;
69;1;274;Super marka 274;;;;;https://img01.ztat.net/article/spp-media-p1/c93caff7d5e1450ea39793baa0f0b6bd/10d78a24f5654ced81394eb895ed2dae.jpg?imwidth=300;
70;1;GAP;Super marka GAP;;;;;https://img01.ztat.net/article/spp-media-p1/a850c81375244f74baf4afd6a0adb976/cd7f43ae3cd64fadadce8cf9e88dd603.jpg?imwidth=300;
71;1;Under Armour;Super marka Under Armour;;;;;https://img01.ztat.net/article/spp-media-p1/909e6bdc448b4b4b90ee2d80652172cf/fe65e8636abd48b88fc1c6e54efb0841.jpg?imwidth=300;
72;1;New Era;Super marka New Era;;;;;https://img01.ztat.net/article/spp-media-p1/abac645d67fa437fbc6db71f23928864/945423cdcaa04022aef6b297ac2c0708.jpg?imwidth=300;
73;1;Bershka;Super marka Bershka;;;;;https://img01.ztat.net/article/spp-media-p1/1ae2ec4351c0485da2d3233343e4e35b/481f7d5807924a6ca891f06cee56bfbb.jpg?imwidth=300;
74;1;Alpha Industries;Super marka Alpha Industries;;;;;https://img01.ztat.net/article/spp-media-p1/b13cee03318132dba987c59bbafd4f41/eb45c2d46807446fa19864025188b2a1.jpg?imwidth=300;
75;1;Blend;Super marka Blend;;;;;https://img01.ztat.net/article/spp-media-p1/0cb6dee975c144f08bf26e90bb8f9ef2/5e0b1c04b70a4530b82cbfd05df4a68f.jpg?imwidth=300;
76;1;Zign;Super marka Zign;;;;;https://img01.ztat.net/article/spp-media-p1/4a7c6c6aa87b446c8468f9557bedab80/e3a208a143334d75b090b73f67f79494.jpg?imwidth=300&filter=packshot;
77;1;BDG Urban Outfitters;Super marka BDG Urban Outfitters;;;;;https://img01.ztat.net/article/spp-media-p1/fa8036fa860543239d4c162cacc1d0e4/25ae9c108966471fbaf2616dfffe7f06.jpg?imwidth=300;
